batimentos; oximetro; temp. corporal; acelerometro; temp. ambiente; umidade; luz; ruido; hora
116; 7; 25.6; 0; 26.3; 48.2; 987; 1240; 17:23:20
110; 7; 25.6; 0; 26.3; 47.6; 991; 16226; 17:23:36
96; 7; 25.6; 0; 26.3; 46.5; 989; 11656; 17:23:51
118; 2; 25.6; 10; 26.3; 46.8; 990; 10752; 17:24:07
106; 2; 25.5; 3; 26.2; 46.3; 990; 5477; 17:24:22
103; 2; 25.5; 7; 26.2; 46.3; 989; 8510; 17:24:38
96; 2; 25.5; 0; 26.1; 46.4; 988; 10002; 17:24:54
96; 7; 25.6; 0; 26.1; 46.5; 989; 7196; 17:25:09
98; 7; 25.6; 0; 26.0; 46.6; 989; 8580; 17:25:25
96; 2; 25.5; 0; 26.0; 46.6; 989; 10136; 17:25:41
97; 2; 25.5; 0; 26.0; 46.6; 989; 7358; 17:25:56
98; 2; 25.5; 0; 26.0; 46.8; 988; 9216; 17:26:12
97; 2; 25.5; 0; 26.0; 46.6; 989; 11528; 17:26:28
98; 7; 25.5; 0; 26.0; 46.5; 988; 7653; 17:26:43
96; 7; 25.5; 0; 26.0; 46.7; 988; 8467; 17:26:59
98; 7; 25.4; 0; 26.0; 47.3; 989; 10791; 17:27:15
96; 4; 25.4; 0; 26.0; 47.1; 991; 9391; 17:27:30
30; 4; 25.4; 16; 26.0; 46.7; 989; 9100; 17:27:46
42; 4; 25.4; 15; 26.0; 46.6; 991; 11902; 17:28:02
85; 4; 25.4; 10; 26.0; 46.6; 991; 9933; 17:28:17
93; 4; 25.4; 5; 26.0; 46.7; 991; 6730; 17:28:33
96; 4; 25.4; 0; 26.0; 46.7; 989; 9197; 17:28:49
97; 4; 25.4; 0; 26.0; 46.6; 991; 11246; 17:29:04
98; 4; 25.5; 0; 25.9; 46.6; 990; 7486; 17:29:20
96; 7; 25.5; 0; 25.9; 46.6; 991; 8281; 17:29:35
96; 7; 25.5; 0; 25.9; 46.6; 991; 10119; 17:29:51
97; 8; 25.5; 0; 25.9; 46.7; 990; 7653; 17:30:07
98; 8; 25.5; 0; 25.9; 46.8; 991; 5962; 17:30:22
96; 8; 25.5; 0; 25.9; 46.9; 990; 8383; 17:30:38
96; 8; 25.5; 0; 26.0; 46.9; 990; 10594; 17:30:54
98; 3; 25.5; 0; 25.9; 47.0; 989; 9588; 17:31:09
96; 3; 25.5; 0; 25.9; 47.3; 989; 7400; 17:31:25
97; 3; 25.4; 0; 25.9; 47.5; 990; 10866; 17:31:41
98; 8; 25.4; 0; 25.9; 48.2; 989; 10303; 17:31:56
97; 8; 25.4; 0; 25.9; 47.9; 988; 7017; 17:32:12
98; 3; 25.4; 0; 25.9; 47.4; 989; 9146; 17:32:28
96; 3; 25.4; 0; 25.9; 47.1; 991; 11013; 17:32:43
98; 3; 25.4; 0; 26.0; 47.5; 989; 11203; 17:32:59
96; 3; 25.4; 0; 26.0; 47.8; 988; 7572; 17:33:15
97; 4; 25.4; 0; 26.0; 47.6; 988; 10537; 17:33:30
98; 4; 25.4; 0; 26.1; 47.4; 991; 11297; 17:33:46
96; 4; 25.4; 0; 26.1; 47.1; 990; 8590; 17:34:01
96; 4; 25.4; 0; 26.1; 47.0; 990; 7850; 17:34:17
97; 4; 25.4; 0; 26.1; 46.9; 989; 10296; 17:34:33
98; 5; 25.4; 0; 26.1; 46.8; 991; 8985; 17:34:48
96; 5; 25.4; 0; 26.1; 46.9; 990; 6871; 17:35:04
96; 5; 25.3; 0; 26.1; 46.7; 990; 8516; 17:35:20
98; 5; 25.3; 0; 26.1; 46.6; 990; 10522; 17:35:35
96; 5; 25.3; 0; 26.1; 46.7; 990; 9953; 17:35:51
97; 5; 25.3; 0; 26.1; 47.0; 989; 7316; 17:36:07
98; 2; 25.3; 0; 26.1; 46.9; 987; 9300; 17:36:22
97; 2; 25.3; 0; 26.1; 47.1; 989; 10975; 17:36:38
67; 7; 25.4; 0; 26.1; 47.4; 990; 7661; 17:36:54
98; 7; 25.4; 0; 26.2; 47.8; 990; 7848; 17:37:09
96; 7; 25.4; 0; 26.2; 47.0; 990; 10419; 17:37:25
